Level,Subject,Year,Placed_File,Original_Source_Path
A_Level,D_and_T,2026,9705_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Design and Technology/9705_2025-2027_syllabus.pdf
A_Level,Ecos,2021,Economics_9708_2019-2021.pdf,/mnt/data/cambridge_full_sources/A_Level/Economics_9708_2019-2021.pdf
A_Level,Ecos,2022,Economics_9708_2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Economics_9708_2022.pdf
A_Level,Ecos,2023,9708_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Economics/9708_2023-2025_syllabus.pdf
A_Level,Ecos,2024,9708_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Economics/9708_2023-2025_syllabus.pdf
A_Level,Ecos,2025,9708_2023-2025_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Economics/9708_2023-2025_syllabus.pdf
A_Level,Ecos,2026,Economics_9708_2026-2028.pdf,/mnt/data/cambridge_full_sources/A_Level/Economics_9708_2026-2028.pdf
A_Level,French,2021,French_9716_2024.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9716_2024.pdf
A_Level,French,2022,French_9716_2024.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9716_2024.pdf
A_Level,French,2023,French_9716_2024.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9716_2024.pdf
A_Level,French,2024,French_9716_2024.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9716_2024.pdf
A_Level,French,2025,French_9898_2025-2027.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9898_2025-2027.pdf
A_Level,French,2026,French_9898_2025-2027.pdf,/mnt/data/cambridge_full_sources/A_Level/French_9898_2025-2027.pdf
A_Level,Geo,2021,Geography_9696_2021-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Geography_9696_2021-2022.pdf
A_Level,Geo,2022,Geography_9696_2021-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Geography_9696_2021-2022.pdf
A_Level,Geo,2023,Geography_9696_2021-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Geography_9696_2021-2022.pdf
A_Level,Geo,2023,9696_2025-2026_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Geography/9696_2025-2026_syllabus.pdf
A_Level,Geo,2024,Geography_9696_2021-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Geography_9696_2021-2022.pdf
A_Level,Geo,2024,9696_2025-2026_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Geography/9696_2025-2026_syllabus.pdf
A_Level,Geo,2025,9696_2025-2026_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Geography/9696_2025-2026_syllabus.pdf
A_Level,Geo,2026,9696_2025-2026_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Geography/9696_2025-2026_syllabus.pdf
A_Level,History,2021,History_9489_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/History_9489_2024-2025.pdf
A_Level,History,2022,History_9489_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/History_9489_2024-2025.pdf
A_Level,History,2023,History_9489_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/History_9489_2024-2025.pdf
A_Level,History,2024,History_9489_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/History_9489_2024-2025.pdf
A_Level,History,2025,History_9489_2024-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/History_9489_2024-2025.pdf
A_Level,History,2026,9489_2026-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/History/9489_2026-2027_syllabus.pdf
A_Level,Eng_Lang,2021,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Eng_Lang,2022,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Eng_Lang,2023,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Eng_Lang,2024,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Eng_Lang,2025,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Eng_Lang,2026,English_Language_9093_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/English_Language_9093_2024-2026.pdf
A_Level,Literature,2021,Literature_9695_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2021-2023.pdf
A_Level,Literature,2022,Literature_9695_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2021-2023.pdf
A_Level,Literature,2023,Literature_9695_2021-2023.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2021-2023.pdf
A_Level,Literature,2024,Literature_9695_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2024-2026.pdf
A_Level,Literature,2025,Literature_9695_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2024-2026.pdf
A_Level,Literature,2026,Literature_9695_2024-2026.pdf,/mnt/data/cambridge_full_sources/A_Level/Literature_9695_2024-2026.pdf
A_Level,Pure_Maths,2021,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Pure_Maths,2022,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Pure_Maths,2023,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Pure_Maths,2024,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Pure_Maths,2025,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Pure_Maths,2026,Mathematics_9709_2026-2027.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2026-2027.pdf
A_Level,Physics,2021,Physics_9702_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Physics_9702_2022-2024.pdf
A_Level,Physics,2022,Physics_9702_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Physics_9702_2022-2024.pdf
A_Level,Physics,2023,Physics_9702_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Physics_9702_2022-2024.pdf
A_Level,Physics,2024,Physics_9702_2022-2024.pdf,/mnt/data/cambridge_full_sources/A_Level/Physics_9702_2022-2024.pdf
A_Level,Physics,2025,9702_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Physics/9702_2025-2027_syllabus.pdf
A_Level,Physics,2026,9702_2025-2027_syllabus.pdf,/mnt/data/cambridge_archive/A_Level/Physics/9702_2025-2027_syllabus.pdf
A_Level,Mechanics,2021,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Mechanics,2022,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Mechanics,2023,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Mechanics,2024,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Mechanics,2025,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Mechanics,2026,Mathematics_9709_2026-2027.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2026-2027.pdf
A_Level,Statistics,2021,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Statistics,2022,Mathematics_9709_2020-2022.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2020-2022.pdf
A_Level,Statistics,2023,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Statistics,2024,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Statistics,2025,Mathematics_9709_2023-2025.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2023-2025.pdf
A_Level,Statistics,2026,Mathematics_9709_2026-2027.pdf,/mnt/data/cambridge_full_sources/A_Level/Mathematics_9709_2026-2027.pdf
